minute,participantId,totalGold,level,xp,minionsKilled,jungleMinionsKilled,gameId,queue,teamId,win,champion_name,role,lane,summonerName
0,3,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
1,3,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
2,3,522,1,113,0,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
3,3,1092,2,419,2,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
4,3,1308,3,707,4,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
5,3,1697,3,1108,7,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
6,3,2106,4,1299,7,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
7,3,2261,4,1505,8,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
8,3,2410,5,1938,9,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
9,3,2706,5,2257,11,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
10,3,2915,6,2449,11,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
11,3,3306,6,2909,14,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
12,3,3515,7,3329,15,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
13,3,3655,7,3329,15,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
14,3,3810,7,3384,16,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
15,3,4220,7,3581,16,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
16,3,4360,7,3581,16,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
17,3,4812,8,4191,18,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
18,3,5120,8,4419,19,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
19,3,5444,9,5045,19,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
20,3,5620,9,5197,19,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
21,3,5967,9,5952,19,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
22,3,6197,10,6226,20,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
23,3,7090,11,8221,25,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
24,3,7431,11,8221,25,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
25,3,7713,12,8950,25,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
26,3,8385,13,10030,28,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
27,3,8525,13,10030,28,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
28,3,8665,13,10104,28,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
29,3,9341,13,11406,28,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
30,3,9781,14,12271,28,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
31,3,10101,14,12623,30,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
32,3,10438,15,13035,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
33,3,10578,15,13110,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
34,3,11093,15,14453,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
35,3,11234,15,14453,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
36,3,11941,16,15458,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
37,3,12255,16,16046,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
38,3,12395,16,16046,31,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
39,3,12650,17,16548,36,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
40,3,12880,17,16938,37,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
41,3,13145,17,17787,37,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
42,3,13308,17,17985,37,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
0,7,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
1,7,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
2,7,522,1,113,0,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
